theta_obs_over_theta_c,time_s,frequency_hz,uniform,adaptive,relative
1.5,31622.776601683792,100000000000000.0,2.419213402681518e-25,2.5394990255823367e-25,0.04972096416442251
1.5,42169.65034285822,100000000000000.0,2.364662965718325e-25,2.3991870420318844e-25,0.014599998737271136
1.5,56234.13251903491,100000000000000.0,2.1114389684746704e-25,2.107616096606684e-25,-0.001810552862320347
1.5,74989.42093324558,100000000000000.0,1.8907662700319154e-25,1.8441410162028542e-25,-0.024659448694456687
1.5,100000.0,100000000000000.0,1.5888591290991918e-25,1.5279860895318301e-25,-0.038312420813463643
1.5,133352.1432163324,100000000000000.0,1.2656567189404482e-25,1.2306497188635646e-25,-0.027659158722113775
1.5,177827.94100389228,100000000000000.0,9.464225912132025e-26,9.368514012957125e-26,-0.010113019285835967
1.5,237137.37056616554,100000000000000.0,6.496113922084058e-26,6.458410539278473e-26,-0.0058039903945357185
1.5,316227.7660168379,100000000000000.0,3.99282168333896e-26,3.9705812412777795e-26,-0.005570106512390538
1.5,421696.5034285822,100000000000000.0,2.2906657950165482e-26,2.2835251131786392e-26,-0.0031172953529248204
1.5,562341.3251903491,100000000000000.0,1.2833792841880155e-26,1.2739227457229413e-26,-0.0073684674371671255
1.5,749894.2093324559,100000000000000.0,6.990536918442637e-27,6.950761813678601e-27,-0.0056898497537577475
1.5,1000000.0,100000000000000.0,3.933625607222102e-27,3.905924187854584e-27,-0.007042210452529618
1.5,1000.0,1e+17,2.4846667599143856e-26,2.5127449022651864e-26,0.011300566661007094
