scenario,solver,band,nu_hz,t_obs_s,flux_density
ISM,dg_1d,Rband,4.60000000e+14,1.59415904e+03,2.08623910e-24
ISM,dg_1d,Rband,4.60000000e+14,1.79128445e+03,2.15539896e-24
ISM,dg_1d,Rband,4.60000000e+14,2.01278538e+03,2.23107400e-24
ISM,dg_1d,Rband,4.60000000e+14,2.26167595e+03,2.30584774e-24
ISM,dg_1d,Rband,4.60000000e+14,2.54134304e+03,2.37562107e-24
ISM,dg_1d,Rband,4.60000000e+14,2.85559230e+03,2.43812012e-24
ISM,dg_1d,Rband,4.60000000e+14,3.20870000e+03,2.49009629e-24
ISM,dg_1d,Rband,4.60000000e+14,3.60547115e+03,2.52891335e-24
ISM,dg_1d,Rband,4.60000000e+14,4.05130497e+03,2.55893904e-24
ISM,dg_1d,Rband,4.60000000e+14,4.55226828e+03,2.57769778e-24
ISM,dg_1d,Rband,4.60000000e+14,5.11517810e+03,2.58627960e-24
ISM,dg_1d,Rband,4.60000000e+14,5.74769442e+03,2.58127607e-24
ISM,dg_1d,Rband,4.60000000e+14,6.45842443e+03,2.56202746e-24
ISM,dg_1d,Rband,4.60000000e+14,7.25703961e+03,2.52657450e-24
ISM,dg_1d,Rband,4.60000000e+14,8.15440740e+03,2.47284834e-24
ISM,dg_1d,Rband,4.60000000e+14,9.16273901e+03,2.39710523e-24
