scenario,solver,t_obs_s,nearest_track_time_s,nearest_radius_cm,gamma_e,dnde,gamma2_dnde
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.86452824e+04,5.36455313e+46,1.86496841e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.25442203e+04,3.33567308e+46,1.69532872e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.72584699e+04,2.06691426e+46,1.53576728e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.29585220e+04,1.27640406e+46,1.38651201e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.98505191e+04,7.85703220e+45,1.24774690e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,4.81837101e+04,4.82210998e+45,1.11953477e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,5.82594650e+04,2.95138257e+45,1.00174802e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,7.04421733e+04,1.80167050e+45,8.94006880e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,8.51724228e+04,1.09676581e+45,7.95631387e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.02982933e+05,6.65352371e+44,7.05638423e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.24517821e+05,4.01715450e+44,6.22847256e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.50555895e+05,2.40938745e+44,5.46137721e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.82038823e+05,1.43273324e+44,4.74781048e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.20105185e+05,8.43460363e+43,4.08625276e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.66131651e+05,4.91310316e+43,3.47975718e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.21782768e+05,2.83229795e+43,2.93267883e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.89071158e+05,1.61703167e+43,2.44780378e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,4.70430306e+05,9.15116638e+42,2.02519588e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,5.68802566e+05,5.13810192e+42,1.66236279e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,6.87745570e+05,2.86463567e+42,1.35495540e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,8.31560891e+05,1.58724112e+42,1.09756694e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.00544961e+06,8.74801902e+41,8.84362544e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.21570042e+06,4.80007409e+41,7.09416150e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.46991702e+06,2.62388038e+41,5.66930304e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.77729318e+06,1.42942558e+41,4.51522813e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.14894514e+06,7.76263308e+40,3.58475696e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.59831370e+06,4.20353179e+40,2.83790271e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.14165027e+06,2.27054636e+40,2.24102164e+53
